contract_no,field_name,seller,secondary_seller,general_contractor,contract_qty,created_at,updated_at,memo,contract_date,start_date,jv,unit_price
2800036,（仮称）アルテシモ千歳３丁目計画新築工事,東信建材　㈱,東信建材　㈱,株式会社 小川建設,1000.0,2026-06-25T05:55:46.23221+00:00,2026-06-25T06:00:03.961737+00:00,,,,,
1167700001,Ｒ６国道１４号亀戸小松川立体道路改良その他工事,TKConneCT　（株）,TKConneCT　（株）,株式会社 植松土木,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1164800003,（仮称）人形町３丁目計画新築工事,野原産業セメント　㈱,野原産業セメント　㈱,株式会社 福田組東京本店,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
23200037,（仮称）江東区千田計画新築工事,㈱　三好商会　東京支店,三谷商事㈱　東京支店,野村建設工業 株式会社,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
9800010,ＧＲＥＥＮ ＰＡＲＫ日本橋浜町公園新築工事,東信建材　㈱,東信建材　㈱,株式会社坂入建設,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
5300014,都営住宅４Ｈ-１０１東（江東区南砂三丁目）工事,三谷商事㈱　東京支店,阪和興業㈱　土木建材部　土木建材第2課,株式会社 冨士工,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
4200026,（仮称）西浅草三丁目ホテル計画,三谷商事㈱　東京支店,ジャパン建材㈱　建設資材課（事務代行課）,村本建設 株式会社,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1163100002,（仮称）江戸川区東葛西２丁目計画新築工事,吉田建材　㈱,吉田建材　㈱,山旺建設株式会社,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1171200001,西葛西６丁目ＰＪ,㈱　オダ,㈱　オダ,NewSaucer株式会社,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1009300017,（仮称）千代田区神田猿楽町二丁目計画新築工事,吉田建材　㈱,吉田建材　㈱,奈良建設株式会社,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
97400025,（仮称）江東区新大橋1丁目計画,三谷商事㈱　東京支店,三谷商事㈱　東京支店,風越建設　株式会社,830.0,2026-06-25T05:55:46.23221+00:00,2026-06-25T06:09:01.203574+00:00,,,,,
24900026,（仮称）東上野4丁目APホテル2新築計画,三谷商事㈱　東京支店,上原成商事　㈱　　東京支店,東レ建設 株式会社,660.0,2026-06-25T05:55:46.23221+00:00,2026-06-25T06:10:06.86456+00:00,,,,,
4000046,（仮称）浅草橋４丁目計画新築工事,野原産業セメント　㈱,三谷商事㈱　東京支店,住協建設 株式会社,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
18700045,（仮称）ドムール亀戸新築工事,東和アークス　㈱,千代田興業㈱,中野建設 株式会社,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1167300001,（仮称）台東区台東３丁目２４ホテル計画新築工事,三信通商㈱,三信通商㈱,練馬建設 株式会社,500,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:03:28.611474+00:00,,,,,
5700014,吾嬬ポンプ所発電機棟建設工事,（有）ウェーブ,東信建材　㈱,日本建設 株式会社,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1132400033,（仮称）浅草橋場リバーサイドホテル 新築工事,野原産業セメント　㈱,野原産業セメント　㈱,生和コーポレーション株式会社 千葉支店第一工事部,500.0,2026-06-25T05:55:46.23221+00:00,2026-06-25T06:01:43.721648+00:00,,,,,
93200047,（仮称）三ノ輪Ⅶ新築工事,TKConneCT　（株）,TKConneCT　（株）,大東建託　株式会社,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1067400005,（仮称）アルファコート青戸６丁目交差点（８）新築工事,三谷商事㈱　東京支店,廣嶋産業株式会社,株式会社リンク建設,660.0,2026-06-25T05:55:46.23221+00:00,2026-06-25T06:05:20.016649+00:00,,,,,
55000028,旧江戸川（東葛西一丁目地区）スーパー堤防被覆修景工事,三谷商事㈱　東京支店,三谷商事㈱　千葉支店,株式会社 細田組,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1168000001,(仮称）日本橋三丁目プロジェクト新築工事,阪和興業㈱　土木建材部　土木建材第2課,阪和興業㈱　土木建材部　土木建材第2課,株式会社 フウキ建設,500,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:29:07.983145+00:00,,,,,
1067400003,（仮称）アルファコート三ノ輪８新築工事,三谷商事㈱　東京支店,廣嶋産業株式会社,株式会社リンク建設,600,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:34:35.08012+00:00,,,,,
1171700001,(仮称)上野５丁目計画,芦沢商事㈱,芦沢商事　㈱　横浜支店,小野建設株式会社,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1033000073,（仮称）台東区松が谷四丁目賃貸レジデンス計画新築工事,スミセ建材　㈱,丸壽産業（株）東京支店,新三平建設株式会社,750,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:07:42.217783+00:00,,,,,
11000006,（仮称）江東区亀戸５丁目計画,三谷商事㈱　東京支店,三谷商事㈱　東京支店,北和建設 株式会社,2500.0,2026-06-25T05:55:46.23221+00:00,2026-06-25T06:10:54.080241+00:00,,,,,
1121000070,小網町・こもりコーポレーション本社新築工事,阪和興業㈱　土木建材部　土木建材第2課,阪和興業㈱　土木建材部　土木建材第2課,髙松建設 株式会社,600,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:29:36.014417+00:00,,,,,
1132400026,（仮称）墨田区両国３丁目ＰＪⅡ新築工事,野原産業セメント（株）（1）,野原産業セメント（株）（1）,生和コーポレーション株式会社 千葉支店第一工事部,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1125500004,（仮称）浅草4丁目計画 新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,株式会社 和田組,300.0,2026-06-25T05:55:46.23221+00:00,2026-06-25T06:11:42.795791+00:00,,,,,
1067400004,（仮称）アルファコート小村井新築工事,三谷商事㈱　東京支店,ウチダ商事　㈱,株式会社リンク建設,400,2026-06-11T06:02:57.066166+00:00,2026-06-24T06:35:51.960806+00:00,,,,,
91000032,（仮称）クリオ浅草橋新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,南海辰村建設株式会社,1500.0,2026-06-10T23:30:18.546095+00:00,2026-06-11T07:08:28.200306+00:00,,2024-07-01,,,17500.0
1133400038,（仮称）墨田区菊川1丁目新築工事,三谷商事㈱　東京支店,ジャパン建材㈱　建設資材課（事務代行課）,株式会社 カシワバラ・コーポレーション,500.0,2026-06-25T05:55:46.23221+00:00,2026-06-25T06:12:05.606483+00:00,,,,,
3600224,（仮称）ＤＨ_篠崎計画,三谷商事㈱　東京支店,三谷商事㈱　東京支店,大和ハウス工業 株式会社,2000.0,2026-06-10T23:30:18.546095+00:00,2026-06-11T06:03:03.146821+00:00,,,,,
